"id","name_zh","name_en","election_type","person_id","matched","year","cacode","constituency_id","age","political_affiliation","camp","candidate_number","occupation","nominated_at","nominate_status","votes","vote_percentage","is_won"
4595,"伍月蘭","","ordinary",975,,2019,"F16",,,"公民黨","民主",,"區議員","2019-10-08","nominated",0,0,false
4596,"李俊晞","","ordinary",1742,,2019,"F17",,,"公民黨","民主",,"地區發展主任","2019-10-08","nominated",0,0,false
4597,"覃德誠","","ordinary",2304,,2019,"F18",,,"民協","民主",,"全職區議員","2019-10-08","nominated",0,0,false
4598,"周晉輝","","ordinary",2754,,2019,"F18",,,"西九新動力","建制",,"社區幹事","2019-10-09","nominated",0,0,false
4599,"利瀚庭","","ordinary",2520,,2019,"F19",,,"民協","民主",,"社區主任","2019-10-08","nominated",0,0,false
4600,"陳偉明","","ordinary",1283,,2019,"F19",,,"民主建港協進聯盟","建制",,"區議員","2019-10-09","nominated",0,0,false
4601,"陳銘基","","ordinary",2521,,2019,"F20",,,"民協","民主",," ","2019-10-08","nominated",0,0,false
4602,"何坤洲","","ordinary",2755,,2019,"F20",,,"民建聯","建制",," ","2019-10-09","nominated",0,0,false
4603,"陳鏡秋","","ordinary",2125,,2019,"F21",,,"香港經濟民生聯盟","建制",," ","2019-10-08","nominated",0,0,false
4604,"吳美","","ordinary",280,,2019,"F22",,," ","民主",,"區議員","2019-10-04","nominated",0,0,false
4605,"羅國豪","","ordinary",2756,,2019,"F22",,,"西九新動力","建制",,"深水埗統籌主任","2019-10-09","nominated",0,0,false
4606,"甄啟榮","","ordinary",1744,,2019,"F23",,,"無黨派","其他",,"區議員","2019-10-04","nominated",0,0,false
4607,"李梓敬","","ordinary",1580,,2019,"F24",,,"自由黨","建制",,"公司董事、區議員","2019-10-04","nominated",0,0,false
4608,"陳麗紅","","ordinary",2522,,2019,"F25",,," ","建制",," ","2019-10-04","nominated",0,0,false
4609,"譚國僑","","ordinary",1365,,2019,"F25",,,"香港民主民生協進會","民主",,"全職區議員","2019-10-04","nominated",0,0,false
4610,"曾健超","","ordinary",587,,2019,"G01",,,"獨立","民主",,"註冊社工","2019-10-04","nominated",0,0,false
4611,"邵天虹","","ordinary",1848,,2019,"G01",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4612,"楊振宇","","ordinary",1001,,2019,"G02",,,"無政黨民主派","民主",,"區議員","2019-10-08","nominated",0,0,false
4613,"黎廣偉","","ordinary",1812,,2019,"G03",,,"民主黨","民主",,"區議員","2019-10-04","nominated",0,0,false
4614,"鄧巧彤","","ordinary",2523,,2019,"G03",,,"工聯會","建制",," ","2019-10-04","nominated",0,0,false
4615,"馬希鵬","","ordinary",2074,,2019,"G04",,,"民主黨","民主",,"社區主任","2019-10-04","nominated",0,0,false
4616,"關浩洋","","ordinary",1813,,2019,"G04",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4617,"林正軒","","ordinary",2524,,2019,"G05",,,"民主派區選聯盟","民主",,"毛孟靜立法會議員助理","2019-10-04","nominated",0,0,false
